id,name,phone_number,places,type,sponsor_id,sponsor_name,sponsor_type,street,zip_code,city,lat,lon,planning_area_id
4091890,Kita auf 4 Pfoten,+49304382258,43,Kindertagesstätte,8348,T.O.P. - Tierorientierte Pädagogik gGmbH,Sonstiger freier Träger,Weinheimer Straße 11,14199,Berlin,52.480647,13.2925931,04400830
4091900,Kita Papillon Rouge,+493045310101,25,Kindertagesstätte,8394,Papillon Kindertagesstätten gGmbH,Sonstiger freier Träger,Deutschland 10711,10711,Berlin,52.4990223,13.2925637,04500937
4091910,Kita Glücksweg,+493054829571,42,Kindertagesstätte,8449,kevisa gGmbH,Sonstiger freier Träger,Kudowastraße 21,14193,Berlin,52.4857045,13.2919707,04400727
4091920,Kita mima,+493088623734,48,Kindertagesstätte,8471,Kita mima GmbH,Sonstiger freier Träger,Güntzelstraße 30,10717,Berlin,52.4919459,13.321276,04501147
4091930,Kita Aventureros,+493023396910,25,Kindertagesstätte,878,Aventura Nikolsburg KiTa UG (haftungsbeschränkt),Sonstiger freier Träger,Deutschland 10717,10717,Berlin,52.4931653,13.3282072,04501149
4091940,Kita Kleine Küken II,+493015773160935,25,Kindertagesstätte,8127,Kinderladen Kleine Küken gGmbH,Sonstiger freier Träger,Brandenburgische Straße 84,10713,Berlin,52.4871331,13.3191554,04501146
4091960,Sankofa,+493068400477,48,Eltern-Initiativ-Kindertagesstätte,8633,Sankofa e. V.,EKT,Bundesallee 38,10717,Berlin,52.4882133,13.330597,04501149
4091980,Nezabudki,+493047058762,25,Eltern-Initiativ-Kindertagesstätte,8666,Blagovest e. V.,EKT,Schaperstraße 10,10719,Berlin,52.4995572,13.332184,04501045
4091990,MULTI LINGUA Seesener Straße 46,+4930209665780,25,Kindertagesstätte,8926,Early Years gUG,Sonstiger freier Träger,Seesener Straße 44,10711,Berlin,52.49428225,13.293757210523347,04500938
4092000,Kita Cunostraße,+4930224452290,190,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,Cunostraße 9,14199,Berlin,52.47608535,13.295708573052943,04400832
4092010,Kita Kinderkiez,+493025091663,16,Kindertagesstätte,8674,Kinderkiez Grün gUG (haftungsbeschränkt),Sonstiger freier Träger,Wexstraße 22,10715,Berlin,52.4788355,13.3332735,04501153
4092020,Mini Aventura,+493092356372,18,Kindertagesstätte,878,Aventura Nikolsburg KiTa UG (haftungsbeschränkt),Sonstiger freier Träger,Prager Straße 2,10779,Berlin,52.4949119,13.3342068,04501152
4092050,Kita ZwergNasen,+493088475728,25,Kindertagesstätte,8761,ZwergNasen gGmbH,Sonstiger freier Träger,Paulsborner Straße 10,10709,Berlin,52.4967142,13.3039581,04500938
4092060,Vorschulische Sprachförderung im Jugend- und Kulturzentrum Spirale (nur Sprachförderung),+493015155860750,21,Kindertagesstätte,1112,Nachbarschafts- u. Selbsthilfezentrum in der UFA-Fabrik e.V.,Sonstiger freier Träger,Westfälische Straße 16,10709,Berlin,52.4931274,13.3069771,04500939
4092070,Kita Wirbelwind,+4930160,25,Kindertagesstätte,8746,World of FanMi gGmbH,Sonstiger freier Träger,Hohenzollerndamm 53,14199,Berlin,52.4871346,13.2985234,04400727
4092090,Aventura Motzstraße,+493084510991,25,Kindertagesstätte,878,Aventura Nikolsburg KiTa UG (haftungsbeschränkt),Sonstiger freier Träger,Motzstraße 87,10779,Berlin,52.49353035,13.3351637941579,04501152
4093000,Glückspfad,+493047644667,40,Kindertagesstätte,8449,kevisa gGmbH,Sonstiger freier Träger,Weinheimer Straße 15,14199,Berlin,52.4811761,13.2922393,04400830
4093010,Multi Lingua Seesener Straße 44,+4930209665780,25,Kindertagesstätte,8121,Kultur Mosaik Berlin gUG (haftungsbeschränkt),Sonstiger freier Träger,Seesener Straße 44,10711,Berlin,52.49428225,13.293757210523347,04500938
4093020,Aventureros Nachodstraße,+493084512488,24,Kindertagesstätte,878,Aventura Nikolsburg KiTa UG (haftungsbeschränkt),Sonstiger freier Träger,Nachodstraße 24,10779,Berlin,52.4947573,13.3353673,04501152
4093030,Bärenbande,+493017622741005,25,Kindertagesstätte,9093,Mini Bande gUG,Sonstiger freier Träger,Uhlandstraße 141,10719,Berlin,52.4946996,13.3240125,04501045
4093040,Kleiner Freudberg,+493060033162,15,Kindertagesstätte,7801,Montessori-Stiftung Berlin (MSB),Sonstiger freier Träger,Durlacher Straße 27,10715,Berlin,52.4806301,13.3309717,04501153
4093050,Kita Forckenbeck,+493044677756,70,Kindertagesstätte,8433,KUBIBE gGmbH,Sonstiger freier Träger,Forckenbeckstraße 69,14199,Berlin,52.4804817,13.2991828,04400830
5080030,AWO-Kita Sternschnuppe,+4930754960,195,Kindertagesstätte,151,Arbeiterwohlfahrt Kreisverband Spandau e.V.,Arbeiterwohlfahrt,Falkenseer Chaussee 8,13583,Berlin,52.5470225,13.191960970036355,05100315
5080040,Kita am Wald,+493053052933,120,Kindertagesstätte,107,Orte für Kinder GmbH,Sonstiger freier Träger,Hakenfelder Straße 34,13587,Berlin,52.5678747,13.1987385,05100101
5080060,Kita Am Bullengraben,+49308430,150,Kindertagesstätte,124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,Eigenbetrieb,32 30,13581,Berlin,52.5295894,13.1916494,05200629
