id,name,phone_number,places,type,sponsor_id,sponsor_name,street,zip_code,lat,lon,planning_area_id
1031740,Kita Arif und Alina,+493091443202,23,Reguläre Einrichtung,8129,"""KITA Arif & Alina"" gUG (haftungsbeschränkt)",Burgsdorfstr. 13,13353,52.5424599,13.3623965,01401047
1031750,Kita Vielfalter,+4930848511,25,Reguläre Einrichtung,8153,Konsti e. V.,Exerzierstr. 26,13357,52.5541989,13.3731745,01401045
1031760,KITA Wirbelzwirbel,+493045797887,60,Reguläre Einrichtung,1355,Käpt'n Browser gemeinnützige Gesellschaft mit beschränkter Haftung,Tegeler Str. 13,13353,52.5402153,13.3587979,01401047
1031780,Kita - Die Bärenbande,+493092280767,25,Reguläre Einrichtung,7754,BEB Bildungseinrichtung für Erziehung und Bildung e.V.,Soldiner Str. 70,13359,52.5598087,13.3815944,01300730
1031790,EKT Kinderoase,+493012028791,25,Reguläre Einrichtung,1396,Wassila Soziale Gesellschaft für Integration u. Arbeit mit Kindern und Jugendlichen gGmbH,Ofener Str. 3,13349,52.5557622,13.3448809,01400939
1031800,Kita Omas Garten,+49304642085,14,Reguläre Einrichtung,882,Bürgerinitiative Omas Garten e.V.,Stralsunder Str. 4,13355,52.5406102,13.3964645,01300834
1031810,Kita Wunderland,+493051307508,30,Reguläre Einrichtung,8220,minomi gGmbH,Gerichtstr. 40,13347,52.5450389,13.3636573,01401043
1031830,Kita Weltkinder,+493049988084,82,Reguläre Einrichtung,8286,NetBil gGmbH Bildungs- und Beratungszentrum,Badstr. 12,13357,52.5504781,13.3852992,01300733
1031840,Kita Brunnengarten,+493027018892,75,Reguläre Einrichtung,8700,Brunnenkids gGmbH,Rügener Str. 1,13355,52.5448600,13.3920047,01300834
1031850,Kita Plapperfisch,+493092363306,45,Reguläre Einrichtung,8309,Wunderkinder gGmbH,Seestr. 62,13347,52.5524601,13.3569058,01401048
1031860,Kita Safina,+493015119144326,25,Reguläre Einrichtung,8428,HadeWe-Integra gemeinnützige GmbH,Reinickendorfer Str. 30,13347,52.5472402,13.3695456,01401044
1031870,Kita am Nettelbeckplatz,+4930469064150,92,Reguläre Einrichtung,1343,OUTLAW gemeinnützige Gesellschaft für Kinder- und Jugendhilfe mbH,Reinickendorfer Str. 110A,13347,52.5451281,13.3699292,01300836
1031880,Kita Die Bärenbande,+493094043452,30,Reguläre Einrichtung,7754,BEB Bildungseinrichtung für Erziehung und Bildung e.V.,Soldiner Str. 65,13359,52.5601303,13.3803256,01300730
1031890,Kita Sonneninsel,+493043205419,30,Reguläre Einrichtung,8291,Hauptstadtkinder gGmbH,Usedomer Str. 23,13355,52.5394337,13.3885505,01300835
1031900,Kita Piya,+493045082694,25,Reguläre Einrichtung,4908,Verein der Eltern aus Kurdistan in Deutschland e.V. (Yekmal),Barfusstr. 13,13349,52.5555989,13.3467723,01400939
1031910,Kindertagesstätte Paul-Gerhardt-Stift zu Berlin,+493045005119,40,Reguläre Einrichtung,9131,Paul Gerhardt Stift Soziales gGmbH,Müllerstr. 56,13349,52.5538335,13.3464788,01400939
1031930,Kita Alina und Arif,+493015737689421,25,Reguläre Einrichtung,8129,"""KITA Arif & Alina"" gUG (haftungsbeschränkt)",Sparrstr. 3A,13353,52.5420084,13.3610271,01401047
1031940,Kleiner Fratz,+493017631099893,35,Reguläre Einrichtung,627,Kleiner Fratz GmbH,Prinz-Eugen-Str. 8,13347,52.5477368,13.3650657,01401043
1031960,Kita KIKADO,+493023924097,63,Reguläre Einrichtung,7707,BGFF - Berliner Gesellschaft für Förderung interkultureller Bildung und Erziehung e. V.,Demminer Str. 5,13355,52.5412863,13.3950670,01300834
1031980,Kita Knirpsmaus,+493045082126,41,Reguläre Einrichtung,8235,Trägerwerk Soziale Dienste in Berlin und Brandenburg gGmbH (TWSD in BB gGmbH),Kongostr. 46,13351,52.5522230,13.3461440,01400938
1031990,Kita Piratenkids,+493055526507,66,Reguläre Einrichtung,8469,Piratenkids gemeinnützige GmbH,Otawistr. 27,13351,52.5534120,13.3386000,01400937
1032000,Kita Paradiesvögel,+493041997441,21,Reguläre Einrichtung,7464,eventus Bildung gGmbH,Sparrstr. 25,13353,52.5415741,13.3600479,01401047
1032010,Kindertagesstätte Schlösschen-Mitte,+493092353514,45,Reguläre Einrichtung,8388,LifExperience gemeinnützige Gesellschaft für Bildung Erziehung und Betreuung mbH,Reinickendorfer Str. 99,13347,52.5469228,13.3688908,01401043
1032020,Kita Plapperfrosch,+493055247740,25,Reguläre Einrichtung,8309,Wunderkinder gGmbH,Edinburger Str. 13,13349,52.5541240,13.3512575,01400939
1032030,Kleiner Fratz,+493017631099893,19,Reguläre Einrichtung,627,Kleiner Fratz GmbH,Adolfstr. 21,13347,52.5479149,13.3661151,01401043
