latlon,planning_area_id
52.5941033_13.4531455,03300514
52.55883445_13.454637221234458,03500933
52.5597318_13.454774792329395,03500932
52.5580422_13.4384422,03500932
52.5510898_13.4398924,03500934
52.5509478_13.446982,03500935
52.5523678_13.4494102,03500935
52.56697195_13.441073131098308,03300516
52.55457365_13.46041628414342,03500933
52.62392725_13.484480799018836,03300411
52.5517085_13.4590385,03500933
52.624267_13.4816172,03300411
52.6230004_13.4868394,03300411
52.6045853_13.4785736,03300413
52.6158382_13.486850414262578,03300411
52.6143644_13.493713842681606,03300411
52.61386805_13.489703783015514,03300411
52.5544483_13.4492223,03500933
52.5501017_13.4598267,03500936
52.5901549_13.4542929,03300515
52.562713_13.452406260060185,03500932
52.55844935_13.443169553191474,03500932
52.5484757_13.4624178,03500936
52.5463851_13.452643,03500936
52.5510863_13.4515924,03500935
52.5463484_13.4571073,03500936
52.5498946_13.4532778,03500935
52.5473374_13.4596125,03500936
52.6167891_13.4897481,03300411
52.6105396_13.4826781,03300413
52.5483313_13.4476839,03500935
52.5500093_13.4537483,03500935
52.5519832_13.451696,03500935
52.55183_13.4322593,03500934
52.5482835_13.4486832,03500935
52.5534354_13.4450824,03500935
52.5545202_13.4482733,03500933
52.5545008_13.4467672,03500933
52.5480328_13.4542599,03500936
52.5569119_13.4637591,03500933
52.5494031_13.4476052,03500935
52.5538008_13.4383631,03500934
52.5532557_13.4508963,03500933
52.5448876_13.4376286,03601245
52.5503107_13.4527184,03500935
52.5585982_13.4761719,03501037
52.6081361_13.4801439,03300413
52.552702_13.4370253,03500934
52.6178908_13.4886955,03300411
52.550855_13.4570853,03500933
52.6113651_13.4954317,03300411
52.6100115_13.4805721,03300412
52.6095389_13.4311839,03200309
52.5568896_13.4310039,03500934
52.5491177_13.4538774,03500935
52.5496488_13.4397074,03500934
52.5566465_13.4856268,03501038
52.5621647_13.428017,03300516
52.5580918_13.443281,03500932
