combined_address,geometry,address
Wilsnacker Straße 40 10559 Berlin,POINT (13.349785 52.5313702),"40, Wilsnacker Straße, 10559, Wilsnacker Straße, Berlin, Deutschland"
Elberfelder Straße 19 10555 Berlin,POINT (13.33562008595617 52.521518900000004),"19, Elberfelder Straße, 10555, Elberfelder Straße, Berlin, Deutschland"
Jagowstraße 28 10555 Berlin,POINT (13.33373507811344 52.523483),"28, Jagowstraße, 10555, Jagowstraße, Berlin, Deutschland"
Emdener Straße 56 10551 Berlin,POINT (13.3333668 52.5278776),"56, Emdener Straße, 10551, Emdener Straße, Berlin, Deutschland"
Alt-Moabit 35 10555 Berlin,POINT (13.3346053 52.5248009),"35, Alt-Moabit, 10555, Alt-Moabit, Berlin, Deutschland"
Perleberger Straße 47 10559 Berlin,POINT (13.3478335 52.5309647),"47, Perleberger Straße, 10559, Perleberger Straße, Berlin, Deutschland"
Spenerstraße 37 10557 Berlin,POINT (13.354256275566865 52.523205950000005),"AWO-Club 37, 37, Spenerstraße, 10557, Spenerstraße, Berlin, Deutschland"
Huttenstraße 21 10553 Berlin,POINT (13.3188446 52.528625),"21, Huttenstraße, 10553, Huttenstraße, Berlin, Deutschland"
Alt-Moabit 98 10559 Berlin,POINT (13.3465889 52.5246505),"98, Alt-Moabit, 10559, Alt-Moabit, Berlin, Deutschland"
Alt-Moabit 37 10555 Berlin,POINT (13.3338438 52.5246646),"37, Alt-Moabit, 10555, Alt-Moabit, Berlin, Deutschland"
Waldstraße 41 10551 Berlin,POINT (13.331123 52.5306898),"41, Waldstraße, 10551, Waldstraße, Berlin, Deutschland"
Jagowstraße 10 10555 Berlin,POINT (13.3341186 52.5219031),"10, Jagowstraße, 10555, Jagowstraße, Berlin, Deutschland"
Alt-Moabit 86 10555 Berlin,POINT (13.341483590959509 52.525313),"86, Alt-Moabit, 10555, Alt-Moabit, Berlin, Deutschland"
Kaiserin-Augusta-Allee 101 10553 Berlin,POINT (13.3197157 52.5256683),"101, Kaiserin-Augusta-Allee, 10553, Kaiserin-Augusta-Allee, Berlin, Deutschland"
Elberfelder Straße 28 10555 Berlin,POINT (13.336229699531273 52.522374850000006),"28, Elberfelder Straße, 10555, Elberfelder Straße, Berlin, Deutschland"
Erasmusstraße 7 10553 Berlin,POINT (13.3262262 52.5264908),"7, Erasmusstraße, 10553, Erasmusstraße, Berlin, Deutschland"
Havelberger Straße 12 10559 Berlin,POINT (13.3473085 52.5334356),"12, Havelberger Straße, 10559, Havelberger Straße, Berlin, Deutschland"
Heidestraße 3 10557 Berlin,POINT (13.36924113494993 52.52352045),"Cube Berlin, 3, Washingtonplatz, 10557, Washingtonplatz, Berlin, Deutschland"
Lützowstraße 68 10785 Berlin,POINT (13.3569345 52.5045946),"68, Lützowstraße, 10785, Lützowstraße, Berlin, Deutschland"
Jagowstraße 18 10555 Berlin,POINT (13.334627799649628 52.5232179),"18, Jagowstraße, 10555, Jagowstraße, Berlin, Deutschland"
Stephanstraße 53 10559 Berlin,POINT (13.34914813391594 52.533737599999995),"53, Stephanstraße, 10559, Stephanstraße, Berlin, Deutschland"
Paulstraße 18 10557 Berlin,POINT (13.355486 52.5203327),"18, Paulstraße, 10557, Paulstraße, Berlin, Deutschland"
Rostocker Straße 28 10553 Berlin,POINT (13.3267398 52.5321869),"28, Rostocker Straße, 10553, Rostocker Straße, Berlin, Deutschland"
Wiclefstraße 32 10551 Berlin,POINT (13.329619445581168 52.531362400000006),"32, Wiclefstraße, 10551, Wiclefstraße, Berlin, Deutschland"
Perleberger Straße 39 10559 Berlin,POINT (13.3448171 52.5297496),"39, Perleberger Straße, 10559, Perleberger Straße, Berlin, Deutschland"
Lydia-Rabinowitsch-Straße 5 10557 Berlin,POINT (13.3681795 52.5318182),"5, Lydia-Rabinowitsch-Straße, 10557, Lydia-Rabinowitsch-Straße, Berlin, Deutschland"
Klara-Franke-Straße 1 10557 Berlin,POINT (13.3604157 52.532992),"1, Klara-Franke-Straße, 10557, Klara-Franke-Straße, Berlin, Deutschland"
Hedwig-Porschütz-Straße 6 10557 Berlin,POINT (13.365822 52.533928),"6, Hedwig-Porschütz-Straße, 10557, Hedwig-Porschütz-Straße, Berlin, Deutschland"
Beusselstraße 32 10553 Berlin,POINT (13.3288269 52.5304971),"32, Beusselstraße, 10553, Beusselstraße, Berlin, Deutschland"
Lisa-Fittko-Straße 9 10557 Berlin,POINT (13.3659275 52.5313064),"9, Lisa-Fittko-Straße, 10557, Lisa-Fittko-Straße, Berlin, Deutschland"
Zinzendorfstraße 5 10555 Berlin,POINT (13.331994697924756 52.523174850000004),"5, Zinzendorfstraße, 10555, Zinzendorfstraße, Berlin, Deutschland"
Ackerstraße 60 13355 Berlin,POINT (13.387335 52.5373198),"60, Ackerstraße, 13355, Ackerstraße, Berlin, Deutschland"
Brüsseler Straße 30 13353 Berlin,POINT (13.3470742 52.544981),"30, Brüsseler Straße, 13353, Brüsseler Straße, Berlin, Deutschland"
Ramlerstraße 9 13355 Berlin,POINT (13.3929346 52.5472277),"9, Ramlerstraße, 13355, Ramlerstraße, Berlin, Deutschland"
Edinburger Straße 38 13349 Berlin,POINT (13.349066463142691 52.5559822),"38, Edinburger Straße, 13349, Edinburger Straße, Berlin, Deutschland"
Ghanastraße 13 13351 Berlin,POINT (13.3292215 52.559713),"13, Ghanastraße, 13351, Ghanastraße, Berlin, Deutschland"
Graunstraße 11 13355 Berlin,POINT (13.398933435144059 52.545109),"11, Graunstraße, 13355, Graunstraße, Berlin, Deutschland"
Gottschedstraße 27 13357 Berlin,POINT (13.371648434679997 52.5529095),"27, Gottschedstraße, 13357, Gottschedstraße, Berlin, Deutschland"
Reinickendorfer Straße 98 13347 Berlin,POINT (13.3689638 52.5472843),"98, Reinickendorfer Straße, 13347, Reinickendorfer Straße, Berlin, Deutschland"
Schönwalder Straße 19 13347 Berlin,POINT (13.371096320117102 52.54154935),"Städt. Kita Schönwalder Straße 19a, 19a, Schönwalder Straße, 13347, Schönwalder Straße, Berlin, Deutschland"
Schwedenstraße 9 13359 Berlin,POINT (13.3732107 52.557651),"9, Schwedenstraße, 13359, Schwedenstraße, Berlin, Deutschland"
Nordbahnstraße 15 13359 Berlin,POINT (13.389024841509434 52.5665591),"Kita Nordbahnstraße, 15 - 16, Nordbahnstraße, 13359, Nordbahnstraße, Berlin, Deutschland"
Wattstraße 16 13355 Berlin,POINT (13.388975947508246 52.5407358),"Kita Wattstraße, 16, Wattstraße, 13355, Wattstraße, Berlin, Deutschland"
Gottschedstraße 28 13357 Berlin,POINT (13.371428782663468 52.55274765),"28, Gottschedstraße, 13357, Gottschedstraße, Berlin, Deutschland"
Lynarstraße 12 13353 Berlin,POINT (13.360264106315778 52.5407901),"Kita Lynarstraße, 10-12, Lynarstraße, 13353, Lynarstraße, Berlin, Deutschland"
Freienwalder Straße 19C 13359 Berlin,POINT (13.391586210855714 52.55879285),"Kita Freienwalder Straße 19c, 19C, Freienwalder Straße, 13359, Freienwalder Straße, Berlin, Deutschland"
Togostraße 67 13351 Berlin,POINT (13.344275 52.5507763),"67, Togostraße, 13351, Togostraße, Berlin, Deutschland"
Wiesenstraße 49 13357 Berlin,POINT (13.3743752 52.5470744),"49, Wiesenstraße, 13357, Wiesenstraße, Berlin, Deutschland"
Wolgaster Straße 4 13355 Berlin,POINT (13.3970322 52.5391063),"4, Wolgaster Straße, 13355, Wolgaster Straße, Berlin, Deutschland"
Koloniestraße 24 13359 Berlin,POINT (13.3800162 52.5582258),"24, Koloniestraße, 13359, Koloniestraße, Berlin, Deutschland"
Dubliner Straße 29 13349 Berlin,POINT (13.3441936 52.55918),"29, Dubliner Straße, 13349, Dubliner Straße, Berlin, Deutschland"
Ruheplatzstraße 13 13347 Berlin,POINT (13.3618243 52.5474538),"Städt. Kita Ruheplatzstraße 13, 13, Ruheplatzstraße, 13347, Ruheplatzstraße, Berlin, Deutschland"
Afrikanische Straße 28 13351 Berlin,POINT (13.342032 52.5489122),"28, Afrikanische Straße, 13351, Afrikanische Straße, Berlin, Deutschland"
